Name,Location,Latitude,Longitude
Black Canyon City Transfer Station,"21000 Landfill Rd, Black Canyon City, AZ 85324",34.06399776,-112.1168
Camp Verde Transfer Station Facility,"2600 E AZ-260, Camp Verde, AZ 86322",34.53640465,-111.8037
Congress Transfer Station,"20994 Stanton Rd, Congress, AZ 85332",34.18340331,-112.8234
Cottonwood Transfer Station,"1500 W Mingus Ave, Cottonwood, AZ 86326",34.73026964,-112.0433
Cyprus Bagdad Transfer Station,Lindahl Road (off 96,34.59784104,-113.1741
Mayer Transfer Station,"11250 Antelope Creek Rd, Mayer, AZ 86333",34.3832601,-112.2191
Prescott Valley Recycling and Transfer Station,"2600 N. Lake Valley Road, Prescott Valley, AZ 86314",34.58074544,-112.3344
Sedona Transfer Station,"2279 Shelby Drive, Sedona, AZ 86336",34.85397116,-111.7997
Seligman Transfer Station,55799 N. Seligman Landfill Rd,35.33723807,-112.8678
Skull Valley Transfer Station,"12970 W Van Dickson Rd, Skull Valley, AZ 86338",34.51948607,-112.6941
Sundog Transfer Station,"2800 Sundog Ranch Rd, Prescott, AZ 86301",34.57898031,-112.4249
A a Sydcol LLC,"1925 S Factor Ave, Yuma, AZ 85365",32.69319154,-114.6127
A a Sydcol LLC,"2264 E 13th St, Yuma, AZ 85365",32.70485692,-114.5951
Allied Waste Yuma Transfer Station,"3040 S Avenue 3 1/2 E, Yuma, AZ 85365",32.66974744,-114.5728
"Botavia Energy, LLC","3174 E. Highway 80, Yuma, AZ",32.67128253,-114.5799
Dateland Transfer Station,Dateland Rd on North 2nd St,32.75600733,-113.6489
North Gila Valley Transfer Station,"7870 E County 5th St, Yuma, AZ 85365",32.7579494,-114.4977
Tacna Transfer Station,"40E & county 8th St, along canal, Tacna, AZ 85352",32.7074471,-113.9563
Waste Recycling Ave. 4E Transfer Station,"10387 S Avenue 4 E, Yuma, AZ 85365",32.67931795,-114.5629
Waste Recycling Co. 13 Street Transfer Station,"4190 E County 13 St, Yuma 85365",32.64128386,-114.5618
Wellton Transfer Station,"Wellton, AZ 85356",32.80745362,-113.5259
Yuma YES Waste Transfer Facility,"2126 S. 6th Ave., Yuma, AZ 85365",32.66003859,-114.627
Yuma Household Hazardous Waste Transfer Station,"155 W 14th St, Yuma, AZ 85364",32.70179055,-114.6208
Central Arizona Transfer Station (Johnson Ranch),"5632 W Hunt Hwy, Queen Creek, AZ 85242",33.20078332,-111.626
Kearny Transfer Station,"22060 N Highway 177, Kearny, AZ",33.07671258,-110.9228
Oracle Transfer Station,"2100 E Oracle Transfer Station Road, Oracle, AZ 85634",32.6166716,-110.7517
Recycling Association of Maricopa,"46250 W. McDavid Rd., Maricopa, AZ 85239",33.05825183,-112.0644
Right Away Disposal LLC – Apache Junction Transfer Station,"3755 S. Royal Palm Road, Apache Junction, AZ 85119",33.38149377,-111.5364
Superior Transfer Station,"101 S Arpt Rd, Superior, AZ 85173",33.28055269,-111.124
